Sector,Description,Primary_Subsector,Subsector_Weight,Harm_Magnitude,Population_Impact,Directional_Movement,Total_Score,Normalized_Score_1,Normalized_Score_2
Energy,"The Energy Sector comprises companies engaged in exploration & production, refining & marketing, and storage & transportation of oil & gas and coal & consumable fuels. It also includes companies that offer oil & gas equipment and services.",Integrated Oil and Gas,0.49,1,2,1,4,0.83,17.5
Materials,"The Materials Sector includes companies that manufacture chemicals, construction materials, forest products, glass, paper and related packaging products, and metals, minerals and mining companies, including producers of steel.",Specialty Chemicals,0.31,1,2,2,5,1.67,34
Industrials,"The Industrials Sector includes manufacturers and distributors of capital goods such as aerospace & defense, building products, electrical equipment and machinery and companies that offer construction & engineering services. It also includes providers of commercial & professional services including printing, environmental and facilities services, office services & supplies, security & alarm services, human resource & employment services, research & consulting services. It also includes companies that provide transportation services.",Capital Goods ,0.70,1,2,2,5,1.67,34
Consumer Discretionary,"The Consumer Discretionary Sector encompasses those businesses that tend to be the most sensitive to economic cycles. Its manufacturing segment includes automobiles & components, household durable goods, leisure products and textiles & apparel. The services segment includes hotels, restaurants, and other leisure facilities. It also includes distributors and retailers of consumer discretionary products.",Retailing,0.65,3,1,2,6,1.67,34
Consumer Staples,"The Consumer Staples Sector comprises companies whose businesses are less sensitive to economic cycles. It includes manufacturers and distributors of food, beverages and tobacco and producers of non-durable household goods and personal products. It also includes distributors and retailers of consumer staples products including food & drug retailing companies.",Food Beverage and Tobacco,0.54,3,1,1,5,1.67,34
Health Care,"The Health Care Sector includes health care providers & services, companies that manufacture and distribute health care equipment & supplies, and health care technology companies. It also includes companies involved in the research, development, production and marketing of pharmaceuticals and biotechnology products.","Pharmaceuticals, Biotechnology and Life Sciences",0.57,1,1,2,4,0.83,17.5
Financials,"The Financials Sector contains companies engaged in banking, financial services, consumer finance, capital markets and insurance activities. It also includes Financial Exchanges & Data and Mortgage REITs.",Banks,0.42,1,1,2,4,0.83,17.5
Information Technology,"The Information Technology Sector comprises companies that offer software and information technology services, manufacturers and distributors of technology hardware & equipment such as communications equipment, cellular phones, computers & peripherals, electronic equipment and related instruments, and semiconductors and related equipment & materials.",Software and Services,0.47,3,3,2,8,4.17,83.5
Telecommunication Services,The Communication Services Sector includes companies that facilitate communication and offer related content and information through various mediums. It includes telecom and media & entertainment companies including producers of interactive gaming products and companies engaged in content and information creation or distribution through proprietary platforms.,Media and Entertainment,0.65,3,2,2,7,3.33,67
Utilities,"The Utilities Sector comprises utility companies such as electric, gas and water utilities. It also includes independent power producers & energy traders and companies that engage in generation and distribution of electricity using renewable sources.",Electric Utilities,0.63,2,2,2,6,2.5,50.5
Real Estate,The Real Estate Sector contains companies engaged in real estate development and operation. It also includes companies offering real estate related services and Equity Real Estate Investment Trusts (REITs).,Real Estate Investment Trusts,0.97,2,1,2,5,1.67,34